Source,Target,Label,Weight
Yannimal1981,NYDailyNews,social media,1
bahasatulisan,NYDailyNews,social media,1
UniofHerts,ChristophSalge,robotics,1
PoetsAndQuants,HECParisExecEd,entrepreneurship,1
UniOfYork,AlexiconReid,psychology,1
HANnl,lghvandenbroek,therapy,1
UniWestminster,CEC_UoW,entrepreneurship,1
navalhistorian,Dr_VMosienko,neuroscience,1
shaunwalters041,NYDailyNews,social media,1
AmyCroucher_,bmatsfg,architecture,1
deeochoa10,NYDailyNews,social media,1
ianwalker,v_simulators,psychology,1
EdinburghNapier,ENUApplyScience,sustainability,1
obedbyamukama1,PEspinosaC,climate change,2
ecoireland,NYDailyNews,social media,1
saltycomment,NYDailyNews,social media,1
skyaislyn_,NYDailyNews,social media,1
pansexualnaruto,NYDailyNews,social media,1
VictoriaGallery,JohnShaw_71,architecture,1
AstraZeneca,VibhutiJPatel,innovation,1
UWTSD,calmgirl,psychology,1
uptecporto,futcomputing,biological,4
CyclingSurgeon,ManiraAhmad,artificial intelligence,2
ReneeB_75,NYDailyNews,social media,1
nadhimzahawi,CSkidmoreUK,innovation,1
WPI,JosephSarkis63,economics,2
DigiCatapult,StuffandStories,artificial intelligence,1
UniofGreenwich,landscape_gre,architecture,1
ralanshirley,LouiseHall_7,patients,1
corradofrankiie,NYDailyNews,social media,1
TUeindhoven,InnoOrigins,cell,5
KyYaYa1970,NYDailyNews,social media,1
Andrew4Pendle,ShefUniNews,innovation,1
ProfJohnAllen,APDobbs,chemistry,1
LoughboroughSU,LboroSport,physics,1
LSBU,LSBU_REI,sustainability,1
igkaushic,NYDailyNews,social media,1
DianaHollins,NYDailyNews,social media,1
UniofHerts,mmscheunemann,robotics,2
jenntatum2,NYDailyNews,social media,1
GMITOfficial,GMITSLO,pathways,1
SwanseaUni,Swansea_Law,criminology,1
RRocheNeuro,MUpsychdept,psychology,1
donnchanuig,hynessight,innovation,1
DrFouziaSadiq,imperialcollege,diabetes,1
victoria_holt,ianfordham,artificial intelligence,3
enriquevarsi,enriquevarsi,biological,2
Bruneluni,Brunel_InnovHub,entrepreneurship,4
theBluecoat,wowfest,geography,1
MurriaBhavesh,NYDailyNews,social media,1
sipmar,uopequality,physics,1
drivetimerte,RTERadio1,robotics,1
UniSouthWales,USWResearch,healthcare,1
UniOfYork,UoYGlobal,artificial intelligence,2
climateunion,citizensclimate,climate change,1
DavidBugnon,Libertyworld,cyber security,1
chiuni,skemathschi,innovation,2
steely_glint,jupiterorbit,cyber security,3
JLu_97,NYDailyNews,social media,1
ucl,AGBeale,architecture,1
derbyquad,robotday1,robotics,1
EDHEC_BSchool,ranialabaki,entrepreneurship,1
monderram,CREMEatAston,entrepreneurship,1
AstonUniversity,24housing,physics,1
lorcanbannon,TCDTangent,innovation,1
emmaljones,FitbakesUk,entrepreneurship,1
marksimpkins,UAL_CCi,climate change,1
lborouniversity,NavtejJohal,climate change,2
univgroningen,michaelgrr,climate change,1
ahrcpress,BBCFreeThinking,architecture,2
KTNUK,CyberASAP,cyber security,2
AMLTaylor66,UCLanICSC,economics,1
BigRedBench,ucc_gaa,physics,1
palaumusicacat,ralsinap,neuroscience,1
wordfinga,NYDailyNews,social media,1
CLIC_Sargent,RydalPenrhos,cancer,1
sedyst,CyberSecTUDelft,cyber security,1
NatureComms,endothelialnews,cell,2
tcddublin,rte,medicine,2
BangorUni,DrSPNeill,pathways,1
UTwente,berilsirmacek,artificial intelligence,1
kvyleighx34,NYDailyNews,social media,1
CityUniLEaD,maryannkernan,innovation,1
padebby,NYDailyNews,social media,1
UniofNottingham,UoNSport,chemistry,1
GlyndwrUni,MyddeltonCol,cyber security,2
StaffsUni,StaffsUniNews,artificial intelligence,1
chiuni,ianworden,social media,1
HerefordEZ,marcheslep,cyber security,1
univofstandrews,m_windridge,chemistry,1
_tristin__,NYDailyNews,social media,1
UniofNottingham,UoNAppEnglish,innovation,1
FabbriJulie,valeriejobardPR,entrepreneurship,1
oxford_brookes,ScienceBazaar,artificial intelligence,2
IrPsych,PsychSocIreland,psychology,1
trevourauls,NYDailyNews,social media,1
NatHealthNut,GilesYeo,cell,2
hadassg0,NYDailyNews,social media,1
HarperAdamsUni,FarmersGuide,innovation,1
graemekcook,BestwickC,climate change,2
CebmOxford,Richards_G_C,healthcare,2
uniofbrighton,UBICBrighton,therapy,1
x_loveparis_x,NYDailyNews,social media,1
RoehamptonUni,CeciliaEssau,psychology,1
oxford_brookes,glass_tank,architecture,5
StirBES,drheatherprice,geography,1
Katpa73,NYDailyNews,social media,1
tatertottitties,NYDailyNews,social media,1
ucl,AlisonDolling,sustainability,1
HarperAdamsUni,CLAsouthwest,robotics,1
ShelaghAHP,CalvinMoorley,social media,1
UniofHerts,DrCGautrey,therapy,2
br_suchislife,NYDailyNews,social media,1
crystal4dasha,NYDailyNews,social media,1
DataKind,SAGEOceanTweets,artificial intelligence,1
nidhalaigh,DrMoniqueMann,cyber security,2
wlv_uni,WlvBusiness,entrepreneurship,1
UWTSD,lshubwales,innovation,3
drawdoowaraz,NYDailyNews,social media,1
UniversityLeeds,UoL_Sus,sustainability,1
Kevin_Jackson,danielnewmanUV,artificial intelligence,2
SixDegreesNews,AdaptClimate,climate change,1
AngliaRuskin,scellek,innovation,2
univgroningen,NobelPrize,physics,1
sopakurt,NYDailyNews,social media,1
RoyalAgUni,struttandparker,entrepreneurship,1
msb_miami,NYDailyNews,social media,1
UniofHerts,KarenAnneBarton,innovation,1
JMBurns99,neiler1967,artificial intelligence,2
AbertayUni,HsdMaths,artificial intelligence,1
matteofarinella,royalsociety,physicist,3
estuparitz,NYDailyNews,social media,1
Cranfield_RIO,KTPDurham,artificial intelligence,1
BergTiti,HiLIFE_helsinki,cancer,3
DrdaveAnddee,NYDailyNews,social media,1
DTaruscio,ern_reconnet,economics,1
RichSimmondsZA,WearablesExpert,entrepreneurship,2
talshalev1,Ostrov_A,artificial intelligence,1
PNASNews,DrCWilliams1,climate change,2
drmgoeswild,lorainefarrelly,architecture,3
AdrianKavanagh,con20or,drones,2
HarperAdamsUni,DrJennaRoss,artificial intelligence,4
NHS,PhysioSamMcIver,patients,1
OxfordPhysics,JadePowell01,physics,1
Shauntrel17,NYDailyNews,social media,1
raymondcurran,NIProjectECHO,patients,1
LivUni,livunisustain,sustainability,1
UniofNottingham,EMCCHotel,architecture,1
RobertGordonUni,Fiona_Go,innovation,1
AngryNiteNinja,NYDailyNews,social media,1
Aligg,InnovationRGU,entrepreneurship,1
DCMS,jodrellbank,astronomy,1
tcddublin,Education_Ire,innovation,1
ProfMarkMaslin,natapp_uk,climate change,3
barbielessly,NYDailyNews,social media,1
tcddublin,y_buckley,biological,3
Hydrogen2O,NYDailyNews,social media,1
akure6,medical_xpress,diabetes,1
UniofOxford,robertcourts,innovation,1
medway_council,EmPoints,economics,1
unibirmingham,buzzunibham,economics,2
LCBoxing,NYDailyNews,social media,1
DLopez_xo,NYDailyNews,social media,1
itssarizbeth,NYDailyNews,social media,1
pjrogers7,ZSLScience,climate change,2
VNaylah,NYDailyNews,social media,1
regentsuni,RegentsLT,entrepreneurship,1
ITSligoGAAClub,itsligo,climate change,2
AClarke1984,UofGMVLS,infection,2
EPSRC,OpenResLeeds,robotics,1
joemckendrick,SpirosMargaris,artificial intelligence,3
UniKent,UniKentComp,artificial intelligence,3
jasmineest02,NYDailyNews,social media,1
sahara1977513,NYDailyNews,social media,1
uniofbeds,SystemicInquiry,therapy,1
kdgorospe,URI_fisheries,climate change,2
lindsdd,NYDailyNews,social media,1
effy2308,NYDailyNews,social media,1
harsh_co,UniWestPress,artificial intelligence,1
UniofHerts,sgryanUH,artificial intelligence,4
neuroconscience,CFIN_AU,neuroscience,1
UniofReading,UniRdg_Research,climate change,2
SnookiLoveDolls,NYDailyNews,social media,1
big_churros,NYDailyNews,social media,1
GNairambulance,GordonHEMS,patients,1
emiliagogu,vdignum,artificial intelligence,1
inocean6,NYDailyNews,social media,1
UniofGreenwich,reddyarch,architecture,2
milkyknj,NYDailyNews,social media,1
Dalek_fan,jesswade,biological,2
imperialcollege,guardian,entrepreneurship,1
social_seer,NYDailyNews,social media,1
bgoyo,NYDailyNews,social media,1
Louisemac,KirstenUrquhart,artificial intelligence,1
RLawrencewagner,NYDailyNews,social media,1
laura_jazo,NYDailyNews,social media,1
Karlaahhbeelle,NYDailyNews,social media,1
BarnabySmithUK,katatrepsis,climate change,1
Dagmar_Germany,hertslieutenant,entrepreneurship,1
PFEW_HQ,PFEW_Chair,robotics,1
ca_fink,ctrlamb,economics,2
GoleShivma,NYDailyNews,social media,1
oxford_brookes,brookespoetry,robotics,1
DublinCityUni,mitchelloconnor,artificial intelligence,2
ThinkUHI,JohnSwinney,robotics,1
rainwheeze,NYDailyNews,social media,1
LboroRDM,melissaterras,social media,1
nuigalway,GreenCampusNUIG,sustainability,1
FrecklesXX20,NYDailyNews,social media,1
vanessaalvar3zz,NYDailyNews,social media,1
AberdeenUniLaw,DrKevinJBrown,medicine,1
RussellHorsey,pjmhiatus,medicine,1
AlanJones2008,QUBarch,architecture,4
angels_xr,NYDailyNews,social media,1
UEL_News,TangeUK,architecture,3
VisitBristol,_SpikeIsland,geography,1
ResearchDigest,drtimlomas,psychology,1
UUKIntl,StudyUKBritish,robotics,1
RichFid2,NYDailyNews,social media,1
emeliolivia_x,NYDailyNews,social media,1
KeeleUniversity,ForeverKeele,social media,2
bluebox99,andrewirelandHE,innovation,1
heretakis,sandrabpvc,artificial intelligence,1
jennifernunez1,NYDailyNews,social media,1
lovillalee,NYDailyNews,social media,1
githala_rahul,NYDailyNews,social media,1
PinarTremblay,aydinonat,artificial intelligence,1
PlymUni,ZSLScience,climate change,2
NBSnet,iioannoulbs,sustainability,1
GroupHarding,professor_dave,economics,1
arianacristal21,NYDailyNews,social media,1
bbcburnsy,judson_ian,social media,1
univgroningen,HubFederation,artificial intelligence,1
UniofHerts,button03_4,therapy,1
teamxgina,NYDailyNews,social media,1
jazbutler2000,NYDailyNews,social media,1
AngliaRuskin,ARUEngagement,criminology,2
yooonieverse,NYDailyNews,social media,1
UniCampusAV,cerisimsposmind,psychology,1
alanmcn1,KeithRMatthews,infection,1
SheffUniEng,ShefACSE,robotics,1
janetpooley,tatham_andrew,patients,1
AbertayUni,StuartPentelow,artificial intelligence,1
MidYorksChamber,UoHBusinessSch,innovation,1
SteveThackeray,LacLaurence,innovation,1
EMLYON,makerslab_,innovation,1
PoetsAndQuants,AlainGoudey,artificial intelligence,1
lyssymariee,NYDailyNews,social media,1
UniofExeter,mike_morecroft,artificial intelligence,1
E_perdigon,NYDailyNews,social media,1
UEL_News,RDSBL_UEL,social media,1
alanmcn1,unibirm_MDS,infection,1
SydneyManuel5,NYDailyNews,social media,1
waterlevels,SE_Rivers_Trust,climate change,2
UTwente,MinnavanGerven,economics,1
MyBCU,SLTatBCU,therapy,2
UTwente,DeEnigma_EU,robotics,1
BioStew,SandraWachter5,artificial intelligence,1
Mondiablue,NYDailyNews,social media,1
Frances_Coppola,cacrisalves,economics,1
BSAS_org,Roslinnovation,innovation,1
aniisaxo,NYDailyNews,social media,1
UniofHerts,aprilcruelmonth,astronomy,1
Jenniffer_hqz,NYDailyNews,social media,1
JoshFrazier6,NYDailyNews,social media,1
CEStewartPhD,SymeonDagkas,physics,1
ElephantParkLDN,HWSouthwark,medicine,2
pauljebb1,EHUPressOffice,innovation,1
seinecle,BlueSky_Edu,artificial intelligence,2
AbertayUni,murdo_fraser,cyber security,1
covcampus,covunieec,artificial intelligence,7
UniStrathclyde,STEM4Brit,chemistry,1
NUMBER007BOND,NYDailyNews,social media,1
PassarelliAllan,NYDailyNews,social media,1
tveitdal,SDGbergen,climate change,1
unisontweets,unisonyh,healthcare,1
paulaaaars_,NYDailyNews,social media,1
RachelAnnMills,amymoore1st,climate change,1
aidanhorner,IrisVanRooij,computer science,1
RealWisdomJuice,NYDailyNews,social media,1
UniofHerts,CTGtraining,physics,1
londonukm,UofGMVLS,infection,2
lulubelle666,NYDailyNews,social media,1
39KillerQueens,NYDailyNews,social media,1
lucifer__evil,NYDailyNews,social media,1
saif_anzary,NYDailyNews,social media,1
UniSouthWales,USWProAcademy,drones,1
strathearnrose,HistEnvScot,climate change,2
UniofOxford,NDCNOxford,patients,1
TiarraaMarieee,NYDailyNews,social media,1
Fexco_cpayments,siliconrepublic,artificial intelligence,1
lychylin,NYDailyNews,social media,1
UWTSD,WTWales,climate change,2
StirUni,drheatherprice,geography,1
BioMedCentral,KSR_SysRev,artificial intelligence,1
cardiffuni,DIACardiffUni,artificial intelligence,3
ThinkUHI,MadeAtUni,patients,1
ianwalker,DoctoralBath,sustainability,1
djmitchell21,EmmaTollefsen,architecture,1
paladine,NYDailyNews,social media,1
UoCCareers,suvolunteering,social media,1
drmjiwani,RCGPNWLondon,healthcare,1
DurhamPolice,AstonPress,artificial intelligence,1
UTwente,wdhollosy,artificial intelligence,2
UCC,mariannegusto,sustainability,1
TheNakedLawyer,BlackCountryBF,artificial intelligence,6
ProfDavidWilson,ProfLizYardley,criminology,4
sapphobint,NYDailyNews,social media,1
_cxlty,NYDailyNews,social media,1
mikealbeland,NYDailyNews,social media,1
KingsCollegeLon,CulturalKings,physics,1
YourStMarys,lisamainwaring,social media,1
UniWestScotland,stcadocsprimary,artificial intelligence,1
Galenchey_se,NYDailyNews,social media,1
DonaRogers20,NYDailyNews,social media,1
DottyBaker,knowlewestmedia,robotics,2
Livingstone_S,catedramuv1,cyber security,1
DigiCatapult,UKSINet,artificial intelligence,1
WHU_edu,DFaems,innovation,1
ucddublin,CharlesUCD,cell,3
RoySocMed,_unhindr,innovation,1
ElevatorUK,Brian_McNicoll,entrepreneurship,1
UniWestScotland,UWSEdFutures,innovation,1
tinykidzjm,NYDailyNews,social media,1
jselanikio,AndrewYNg,artificial intelligence,1
HarperAdamsUni,wendy_hewitson,drones,3
learnhospice,agadoud,medicine,1
unisouthampton,antodg16,chemistry,5
tcddublin,EngineerIreland,innovation,2
inside,BhavnaGuyadeen,artificial intelligence,2
ucl,OptoLia,physics,4
xiaochienchi,NYDailyNews,social media,1
eileensastalker,NYDailyNews,social media,1
oxford_brookes,OBU_Psychology,psychology,1
AbertayUni,DundeeCulture,innovation,1
AberUni,aberuninews,physicist,2
UEL_News,DrCarrieWeston,robotics,1
Sale_ExNut,SymeonDagkas,physics,1
sunderlanduni,Fashion_North,therapy,1
_QueenofStaves,NYDailyNews,social media,1
Sue__Moss,SallyOHal,social media,1
Stockholm_Uni,PAIR_ZU,economics,1
BlueSeas111,NYDailyNews,social media,1
suttontrust,MMCareers,pathways,1
ucddublin,UCD_Geography,physics,1
Oxfam,CGDUCC,economics,1
MazzucatoM,CSkidmoreUK,innovation,1
BristolUni,schien,sustainability,1
gilienv,NITIAayog,artificial intelligence,3
Prof_johnbrewer,PeaceJourn,social media,1
UPFBarcelona,talnupf,architecture,2
Arcdox,GRAHAM_Digital,artificial intelligence,2
bydesigngroup,TBB_EMidlands,robotics,1
UEuropea,Daily_Experts,physics,1
UniOfYork,JamesJ11_96,astronomy,1
Dorian_Grazy,NYDailyNews,social media,1
envyysaiya,NYDailyNews,social media,1
aleks_is_a_bee,NYDailyNews,social media,1
NursingTimes,Crouchendtiger7,innovation,1
UWTSD,NestWales,entrepreneurship,1
AlfieM98GJones,NYDailyNews,social media,1
UniofExeter,Renewables_UoE,climate change,2
MAV_0528,NYDailyNews,social media,1
AbertayUni,AbertayCareers,healthcare,1
ElizaFilippouli,oxfoundry,artificial intelligence,1
CaledonianNews,si_exchange,innovation,1
57NorthHacklab,codethecity,artificial intelligence,3
veenas_water,IndiaUKWater,innovation,1
univgroningen,rug_gmw,psychology,4
timcardol,Phil_Baty,robotics,1
ChotiDeepu,NYDailyNews,social media,1
tcddublin,NeuroscienceIRL,neuroscience,1
AstonUniversity,BBCBreakfast,artificial intelligence,2
drchrisjcarter,linedotcreative,entrepreneurship,1
univofstandrews,NCUBtweets,innovation,1
AliciaOshlack,drjosephpowell,cell,2
lborouniversity,MaidenPsych96,psychology,1
hoterminus,AliAbunimah,biological,2
AbertayUni,JusteneEwing,cyber security,1
UniofNottingham,registrarism,chemistry,1
sheepio,KidneyWales,patients,1
UniWestScotland,profcolinclark,social media,4
Real_Insights,CITenterprise,entrepreneurship,2
indsoc100,NYDailyNews,social media,1
CaledonianNews,BBCScotNine,infection,1
lutoncouncil,Voluntaryworks,social media,1
MetMUnch,NusratkRD,sustainability,1
chiuni,ChiUniPsych,psychology,4
HECParis,faivre_tavignot,artificial intelligence,1
CitizensUK,Petebrierley,entrepreneurship,1
Anfarey,NYDailyNews,social media,1
RobertGordonUni,CScotIC,innovation,1
Polytechnique,JNB__X,innovation,1
RobinKwong,RIBA_London,architecture,1
Rohit40997321,NYDailyNews,social media,1
cialanis,NYDailyNews,social media,1
ellaadoran,NYDailyNews,social media,1
EcoNerd_I_Am,NYDailyNews,social media,1
uclh,UCL_OVPA,patients,1
steve_mccabe,BHPComms,cancer,6
bmj_latest,UniofOxford,artificial intelligence,2
Leic_hospital,RutlandLL,cancer,3
bohaynowell,GilesYeo,cell,2
teresanorth,Farm491,physics,1
JANUSZCZAK,aribreist,biological,2
DataSciTechScot,DataSciRookie,artificial intelligence,2
philip_ciwf,FAJagoda,sustainability,1
Sexmurderbass,NYDailyNews,social media,1
debbiemanley,SalfordUniNews,drones,2
morriseric,ITyndall,psychology,1
sassmajesty,UofGMVLS,infection,2
me_satyaa,NYDailyNews,social media,1
ProfSteveKeen,EwaKarwowski,economics,1
FalmouthUni,JemJ13,innovation,1
divinecharizma,NYDailyNews,social media,1
NorthumbriaUni,peoplesvoice,innovation,1
monggaard,JeanetBentzen,economics,1
pinchehugs,NYDailyNews,social media,1
BriscoeTanayia,NYDailyNews,social media,1
Drjohnhorgan,OrlaLynch_ol,criminology,2
warwickuni,AllyUoWPhysics,physics,1
baasitsiddiqui,bevcr,entrepreneurship,1
bhannan,NYDailyNews,social media,1
jiddler62,NYDailyNews,social media,1
juleitzya_,NYDailyNews,social media,1
ktrashtm_,NYDailyNews,social media,1
sursmi,LyttOss,artificial intelligence,1
portsmouthuni,NyeSaunders,architecture,1
IrishCancerSoc,AppSocScs_LIT,cancer,1
Gar1e,UofGMVLS,infection,2
LSBU,LSBU_HSC,healthcare,2
CraigProfessor,BCU_Psychology,psychology,1
UniUtrecht,UniBarcelona,sustainability,1
UTwente,RBurie,healthcare,2
CHRGatKCL,r4hcmena,healthcare,1
dmuleicester,DMUSpecialColls,artificial intelligence,1
Cranfield_RIO,NofScotland_KTP,chemistry,1
DanMulhall,DanMulhall,climate change,1
sisterdanielst1,NYDailyNews,social media,1
Technologiepark,DumeleLab,chemistry,1
colaistetreasa,Fedwards_,artificial intelligence,1
UoMNews,OfficialUoM,diabetes,1
covcampus,CUITServiceDesk,cyber security,3
DublinCityUni,InspirefestHQ,innovation,2
johnpeavoy,Smarttech01,cyber security,1
ks_1968,NYDailyNews,social media,1
BjornKHaugland,UiBrector_Olsen,sustainability,1
RickyRaka9,NYDailyNews,social media,1
JayAnn980,NYDailyNews,social media,1
yrodriguez6530,NYDailyNews,social media,1
Write4Research,AWHarzing,social media,2
MazzucatoM,HertfordCollege,innovation,1
Veritas_Tweets,ben_derbyshire,architecture,1
HollyJessup,NYDailyNews,social media,1
johnwalsh88,VoiceofNursing_,healthcare,1
BodleianHCL,oxforduni_repo,diabetes,1
Uni_of_Essex,EssexSocSci,cyber security,1
BristolUni,CMMBristol,cell,3
resilientwoman8,GilesYeo,cell,2
cindyinchaos,NYDailyNews,social media,1
OrlaFlynnCIT,rubiconcentre,entrepreneurship,2
dmuleicester,DMUArchitecture,architecture,1
UniofExeter,edenproject,sustainability,1
11thHourLib,NYDailyNews,social media,1
GagneLegal,connect2teach,artificial intelligence,3
BristolUni,bristol_smart,artificial intelligence,2
paulducheine,DennisBroeders,cyber security,1
luisabrimble,jolennan,climate change,2
YourStMarys,CarlaMeijen,psychology,1
IMOHQ,WMUHQ,economics,1
TheRealXtinaP,NYDailyNews,social media,1
fester_thomas,MyGoodPlanet,climate change,2
UniWestScotland,N1colaHay,sustainability,1
naomitimperley,SalfordUniNews,psychology,1
AngeCMJ,UCDinnovation,cancer,3
realscientists,NMI_DE,artificial intelligence,1
philbabe,NYDailyNews,social media,1
kajolpat3l,NYDailyNews,social media,1
Sundownocean,NYDailyNews,social media,1
PabloGoP,NYDailyNews,social media,1
sciencespo,txst,cancer,1
geosolshawna,NYDailyNews,social media,1
RebeccaLuff,fringeacademy,social media,1
BrendaStrachan,royalsociety,physicist,3
covcampus,CU_FutureLets,physics,1
ucddublin,ei_canada,healthcare,1
kate_wall98,PhilipTonner,physics,1
unisouthampton,socimpsoton,sustainability,1
IPBES,IPBES,artificial intelligence,2
umaprasadt,NYDailyNews,social media,1
tuecursor,TUeHTSC,innovation,2
RNCMvoice,hannahmccabe01,entrepreneurship,1
Harry_Newton_,alistairbeech,social media,1
kimleannelliot,NYDailyNews,social media,1
WCumbriaCarers,suvolunteering,social media,1
nicolasnicola22,HistAstro,astronomy,1
ISBUSA,CCThinnes,biological,3
UniofOxford,DailyInfoOxford,physics,1
