Source,Target,Label,Weight
univgroningen,EurekAlert,biological,2
xgracejohannax,NYDailyNews,social media,1
UEL_News,KnowledgeDockBC,entrepreneurship,2
suemarietta,NYDailyNews,social media,1
UniWestScotland,UWS_hockey,cancer,2
CambridgeJBS,kavadias_s,innovation,1
villetolvanen,FinlandinCanada,artificial intelligence,1
Unicorn46289264,NYDailyNews,social media,1
ImperialNHS,DrLynneSykes,patients,1
inez0106,NYDailyNews,social media,1
UniCreativeArts,cantarch,architecture,4
CSSDLondon,DrNickyA,patients,1
SwanseaUni,MPBAUK,sustainability,1
evildollhouse,NYDailyNews,social media,1
JarlathOBrien,MsJoBillington,psychology,1
ouffjulia,NYDailyNews,social media,1
imperialcollege,ImperialAI,artificial intelligence,1
SassyNeveragain,NYDailyNews,social media,1
ChristianG420,NYDailyNews,social media,1
PartyNextScore,NYDailyNews,social media,1
marc_lamers,LancasterPress,climate change,1
UniofHerts,izspilka,artificial intelligence,2
stoopidboi,NYDailyNews,social media,1
ucl,MazzucatoM,innovation,1
pablo_artal,Lo_um,innovation,2
CityUniLondon,cassbusiness,entrepreneurship,1
ArcticFlame32,NYDailyNews,social media,1
Onioyansa,NYDailyNews,social media,1
ShawlandsAcad,ShawlandsRARA,psychology,5
Christi54789292,NYDailyNews,social media,1
helsinkiuni,samikaski,artificial intelligence,1
Anthony63265451,NYDailyNews,social media,1
lexxwill_,NYDailyNews,social media,1
GlyndwrUni,WGUNorthop,criminology,4
MatthewPope,AnsonMackay,climate change,1
BarnetCouncil,WoodhouseCol,biological,2
Astroholl,HistAstro,astronomy,1
theresphysics,keelingcurve,climate change,1
tcddublin,ClinSpeechTCD,therapy,1
balfourbeatty,gedcouser,architecture,1
Sir_Gyo,NYDailyNews,social media,1
BPSOfficial,KentPsychology,psychology,1
aaaliyah9,NYDailyNews,social media,1
AnthonyMoya_,NYDailyNews,social media,1
_cchichaa,NYDailyNews,social media,1
medicineandlaw,drmelaniepope,innovation,1
RCA,ellieracheldare,artificial intelligence,1
ddipu,dundeeuni,climate change,1
maricarjagger,Anderson_Ethics,artificial intelligence,1
Beba111201,NYDailyNews,social media,1
oxford_brookes,OxHRF,geography,1
GSofA,MadeAtUni,medicine,1
UniofHerts,LamResearch,robotics,2
NoSQLDigest,BSC_CNS,architecture,2
EMLYON,valeriejobardPR,entrepreneurship,1
InfoSchoolSheff,johncoup,social media,1
MaTreekaRogers,NYDailyNews,social media,1
KANutrition,GilesYeo,cell,2
SkyiDwella346,NYDailyNews,social media,1
MalteLaub,ECPR,sustainability,1
EngineShed_BB,GLWhatmore,artificial intelligence,2
NiCHE_Canada,rsgfletcher,geography,1
esther_schuch,DorothyDankel,sustainability,1
marksimpkins,kn_webster,artificial intelligence,1
niscifest,GeoConor,drones,2
Jisc,PodcastEdtech,artificial intelligence,2
_jimduggan,RyanInstitute,climate change,1
bebemillan,NYDailyNews,social media,1
the_SRA,PrueLeith,economics,1
TheNobleGasbag,keelingcurve,sustainability,1
UCC,OxfamIreland,economics,1
noor_moalla,meganrowling,climate change,2
univofstandrews,HuntersHistory_,physics,1
RoyalFreeNHS,PrenatalTherapy,cancer,3
RobertGordonUni,MohawkPathways,pathways,1
audencia,JenCGoodman,sustainability,3
RudyCluzel,PEspinosaC,architecture,3
BPSOfficial,ResearchDigest,psychology,1
fedelowe,DeepMindAI,artificial intelligence,2
ladyinlksd,NYDailyNews,social media,1
univgroningen,RitsertJansen,patients,2
UniSouthWales,USWGeography,geography,2
PatrickHilsman,NYDailyNews,social media,1
DublinCityUni,RTEBrainstorm,physics,2
LynnClark74,suvolunteering,social media,1
StaffsUni,MadeAtUni,computer science,1
mappelab,pippociorra,architecture,1
uofglibrary,UofGMVLS,infection,2
chestertweetsuk,brygriffiths,healthcare,1
owenboswarva,SandraWachter5,artificial intelligence,1
Uni_of_Essex,EIRA_eARC,entrepreneurship,1
EdinburghNapier,shepwedd,entrepreneurship,1
spacegovuk,SpaceCareersUK,physics,3
FulbrightAwards,UniSotonIntl,artificial intelligence,1
SwanseaUni,TheScientistsC,cancer,2
tcddublin,theperchcafe,sustainability,1
jemberga,IngaSpringe,innovation,1
UCLLifeLearning,OpenCityDocs,artificial intelligence,4
understudypanc,DiabetesUK,diabetes,2
sheffielduni,alyciamllim,medicine,2
wlv_sport,UCTelford_wlv,physics,1
NursingTimes,SteveJFord,patients,1
keshavs18,NYDailyNews,social media,1
goddessofserene,NYDailyNews,social media,1
syfye,NYDailyNews,social media,1
GraemeTR,NCUBtweets,sustainability,1
rubiaaxz,NYDailyNews,social media,1
cumfycritter09,UofGMVLS,infection,2
jesswade,royalsociety,physicist,3
AkunnaChilaka,NYDailyNews,social media,1
victorpasc,ZeroRoboticsSp1,robotics,1
Charlot22496083,tcddublin,healthcare,1
pgroth,jjnoordegraaf,artificial intelligence,1
andylynn91,NYDailyNews,social media,1
geolsoc,IanDuncanHMG,innovation,1
cifuckingara,NYDailyNews,social media,1
bbcburnsy,MeehanMedia,climate change,2
jmikey,NYDailyNews,social media,1
SAGEmedia_comm,SAGEManagement,social media,1
AngliaRuskin,IZAWorldofLabor,economics,2
maineng218,NYDailyNews,social media,1
njmonline,MarietFeltkamp,cell,2
rmathematicus,royalsociety,physicist,3
eillakeille,NYDailyNews,social media,1
mohammedil,royalsociety,physicist,3
UniFAU,Schackii_C,physics,1
Bluebirdlouise,GilesYeo,cell,2
FrankPasquale,bendotolsen,artificial intelligence,2
thundermccrackn,NYDailyNews,social media,1
thatquirkyhuman,NYDailyNews,social media,1
AberUni,SueDCHA,climate change,1
CaledonianNews,Sunday_Post,psychology,1
EMLYON,Mitsuaki_Vinot,entrepreneurship,1
regentsuni,ThatNeilMartin,psychology,1
covcampus,CovUniCareers,social media,1
kerryhood,NCPHWR_Wales,healthcare,1
JuliaRyann_,NYDailyNews,social media,1
vimsu,aberdeenuni,medicine,1
delusss_,NYDailyNews,social media,1
socialpsychUK,reneebleau,psychology,1
KantanMT,AdaptCentre,artificial intelligence,2
MatthewThroup,HudCompEng,computer science,1
NDissmeyer,cvoiniciuc,biological,2
StoryingShef,JulieDaviesUK,innovation,1
ardovig,ryanezmunoz,therapy,1
wlv_uni,RSAcommunity,entrepreneurship,1
KTNUK,VentureFestScot,healthcare,1
UniOfHull,HullYorkMed,patients,1
UNCityCPH,UNEPDTU,climate change,5
1nomdeplume,NYDailyNews,social media,1
UKinIndia,NewtonFund,infection,1
SalfordPsych,VHalliwellOT,therapy,1
vincentlao18,NYDailyNews,social media,1
littledevil147,NYDailyNews,social media,1
DNVGL,PaulMcNeillis,sustainability,1
worcester_uni,greengowns,sustainability,1
KingsCollegeLon,jonathancgrant,sustainability,1
BathSpaUni,katepullinger,artificial intelligence,1
DrSRP1,Stacey_Coates,medicine,1
_sunshineloveee,NYDailyNews,social media,1
ToulouseBS,mh_heit,innovation,1
NHM_London,eden2020eu,robotics,1
WHU_edu,WHU_WIPO,economics,1
SoundWellMusic,cimtr_aru,psychology,1
JanVivekananda,meganrowling,climate change,2
NHSBartsHealth,A_WilliamsNHS,healthcare,1
ProfMyoOo,bmj_latest,healthcare,1
BrankoMilan,HarvardUPLondon,economics,1
pattiJadkins,NYDailyNews,social media,1
UniKent,KentPsychology,psychology,7
corbstellation,NYDailyNews,social media,1
DrMarcBailey,JournalVascRes,cell,3
DrNicoRose,NielsQuaquebeke,artificial intelligence,1
richardbogle,jcspratt,patients,1
HECParis,HECParisMBA,artificial intelligence,11
LBS,LBSAfricaClub,innovation,1
leedsbeckett,PHE_YorksHumber,physics,3
tcddublin,drechsler_paul,innovation,1
ShayariSaha,NYDailyNews,social media,1
AlexMFornal,NYDailyNews,social media,1
SimonRBaty,LJMUinnovation,artificial intelligence,1
sciencespo,VidalFrederique,entrepreneurship,1
KTNUK,KTNUK_Health,innovation,2
uniofeastanglia,MadeAtUni,robotics,1
NavyNana2,NYDailyNews,social media,1
CinziaPG,melissaterras,social media,1
mightbevanhogh,NYDailyNews,social media,1
univofstandrews,smcgregor101,pathways,2
ucl,UCLAlumni,therapy,1
rt_bambino,NYDailyNews,social media,1
LBS,LBSEntrepreneur,entrepreneurship,1
ZFTWARNING,meganrowling,climate change,2
lindayueh,greateconomists,economics,1
UniofHerts,JamesMcL,innovation,4
RAFF_group,HelenJqRimmer,climate change,1
jakec5ak,NYDailyNews,social media,1
scotent,GillianCay,cancer,1
SussanSays,medical_xpress,cell,2
otepofficial,NYDailyNews,social media,1
tudelft,RolfHut,physics,1
CraigProfessor,CraigProfessor,psychology,1
UniWestminster,jimmy_mac,social media,1
karlgimblett,KeeleBusiness,innovation,1
unisouthampton,UoSEngineering,innovation,3
sguriev,EUISoU,economics,1
mashnlabel,NYDailyNews,social media,1
TheGreenParty,alexforeurope,climate change,2
LovToRideMyTrek,NYDailyNews,social media,1
aidanhorner,JohnnyFoxe,neuroscience,1
giuliabruzzese8,NYDailyNews,social media,1
imperialcollege,InventionRooms,innovation,1
unisouthampton,FutureWorlds,entrepreneurship,2
northmoncbs,CITScience4Life,chemistry,2
voicesofthegods,NYDailyNews,social media,1
PODglen,KEconomicConf,economics,1
UKGBC,ClimateKIC,climate change,3
TheDukeOfYork,pitchatpalace,entrepreneurship,2
gypsydangermelz,NYDailyNews,social media,1
UCLAlumni,UCL_OVPA,patients,1
RoyalHolloway,RHElecEng,innovation,1
WarwickBSchool,helpnetsecurity,cyber security,1
SyncNI,SyncNIStudents,artificial intelligence,1
lenatimes,NYDailyNews,social media,1
UWTSD,EduEstWales,innovation,1
nicole_symondsx,NYDailyNews,social media,1
BangorUni,EM_WABangor,psychology,1
claudelittner,UWL_SCE,artificial intelligence,1
KeeleUniversity,MarkOrmerod4,sustainability,3
suehowlett23,NYDailyNews,social media,1
tai_pod,NYDailyNews,social media,1
AnnaDumitriu,ImpaktFestival,robotics,1
UniofHerts,computingchamps,computer science,2
unisouthampton,NursingTimes,patients,1
AndyNeely,gilienv,entrepreneurship,2
daniel_kraft,ExponentialMed,cell,3
sheffielduni,facultyscience,chemistry,2
marqbarack,NYDailyNews,social media,1
AaltoUniversity,samikaski,artificial intelligence,1
DiegoMendez02_,NYDailyNews,social media,1
redjennnys,NYDailyNews,social media,1
cmwg_ato,CamBioanth,climate change,1
aberdeenuni,IanDuncanHMG,innovation,1
ElfantasmaBoo,NYDailyNews,social media,1
unisouthampton,SotonBusiness,entrepreneurship,2
UniKent,drillhalllib,therapy,1
CholatFlorent,ROSEnet_Action,economics,2
AstonUniversity,lemarksmith,economics,1
UniofExeter,JamesGDyke,climate change,2
uhm_yikes_,NYDailyNews,social media,1
raysaortizLULAC,NYDailyNews,social media,1
its__camcam,NYDailyNews,social media,1
tuecursor,Ei_PSI,cyber security,1
jeffAndersonUSN,NYDailyNews,social media,1
ETH_en,Phil_Baty,robotics,1
StudyUWTSD,MadeAtUni,innovation,1
UniofExeter,ExeterMed,diabetes,2
NewsReputation,JLBlasco_me,sustainability,1
DavidPriceUCL,UCLPALS,sustainability,1
stevenawoor,AndrewVCuff,pathways,1
BangorUni,StephenLokier,geography,2
MrKayNti,NYDailyNews,social media,1
Bobduff1,NYDailyNews,social media,1
AngliaRuskin,cimtr_aru,psychology,1
pleasuntly,NYDailyNews,social media,1
argonne,argonne_lcf,artificial intelligence,2
CARTIFCT,Ansip_EU,artificial intelligence,1
KingsCollegeLon,BullDeborah,economics,2
MOSAICgroup1,csbdresden,computer science,1
CouponTammy,NYDailyNews,social media,1
breannaag23,NYDailyNews,social media,1
worcester_uni,DesMcD,geography,1
UWTSD,UwtsdA,entrepreneurship,1
hayfestival,UWTSD,sustainability,1
bournemouthuni,jumpengagement,sustainability,1
DublinCityUni,siliconrepublic,climate change,2
loudogbarking,NYDailyNews,social media,1
MAACONDABEAT,NYDailyNews,social media,1
AvAforBLUE,NYDailyNews,social media,1
DerbyUni,Shain50,entrepreneurship,1
OfficialUoM,alumniUoM,psychology,1
AbertayUni,InterfaceOnline,innovation,3
Patrick_Henz,BarryOSullivan,artificial intelligence,1
PsychToday,MarkWTravers,psychology,1
dmgof5sos,NYDailyNews,social media,1
ThinkUHI,DyslexiaScotInv,innovation,1
PROSENJITKAR4,NYDailyNews,social media,1
Sale_ExNut,James_Morehen,medicine,1
royalhospital,SP_Collis,patients,1
RyanAcademy,muirtheimhne,pathways,2
umanistranieri,meganrowling,climate change,2
pmphillips,UCDDiscovery,artificial intelligence,1
cgarside,UniversityLeeds,physics,1
TEWV,SDexterSmith,healthcare,1
TeaJunkie1,jodrellbank,astronomy,1
gra_design,codethecity,artificial intelligence,3
mah_nosheen,NYDailyNews,social media,1
ronniecowan,ArtScienceDoc,neuroscience,1
teagasc,thatsfarming,biological,2
StaffsUni,buckley_smith,psychology,1
UniversityLeeds,N8research,sustainability,1
peachberries_,NYDailyNews,social media,1
ThinkUHI,ColostomyUK,patients,2
Sandyshark,PhelanVicky,cancer,1
PhysicsNews,IoPNorthEast,astronomy,2
vend_e,NYDailyNews,social media,1
CaledonianNews,UoB_Geography,geography,1
chelsea_bannon,NYDailyNews,social media,1
ozlem_canel,FinEmbNL,artificial intelligence,1
luislamb,vardi,artificial intelligence,1
alvarez_nimer,NYDailyNews,social media,1
Seth0Neill,drkeithstokes,cyber security,1
EdJalapeeno,NYDailyNews,social media,1
UniNorthants,UNICstudents,healthcare,1
RMGirlUK,adrianshort,cyber security,2
Talkwalker,AnnaBeduschi,artificial intelligence,1
YorkKnightsRLFC,DaneVishnubala,medicine,1
UniLeedsStaff,leedsteaching,social media,1
TCDLaunchbox,TCDTangent,entrepreneurship,1
VentureValkyrie,Emeor,artificial intelligence,2
HelpSheffield,SheffieldType,diabetes,1
uniofeastanglia,dmuleicester,entrepreneurship,2
youly_b,NYDailyNews,social media,1
UniKent,biokent,biological,4
leggedrobotics,anybotics,robotics,1
brittney_amador,NYDailyNews,social media,1
OgnianZlatev,GabrielMariya,artificial intelligence,1
DanyaDanekyants,NYDailyNews,social media,1
RoyalAgUni,countrysidefund,entrepreneurship,1
tampagirl19655,NYDailyNews,social media,1
UniNorthants,nick_petford,innovation,1
UniofHerts,HertfordshireCS,computer science,5
SustMeme,DoctoralBath,sustainability,1
fergusonelaine,SocScience_Crim,criminology,1
Comite21,Polytechnique,sustainability,1
tudelft,ArnoSmets,cell,2
Lancs_FireDCFO,LFRS_Tim,drones,3
aaliyahkaili,NYDailyNews,social media,1
MisterOWL9,NYDailyNews,social media,1
STEMPowerGirls,WomenDoingSci,biological,4
BPSOfficial,psychmag,psychology,1
imprintzm,NYDailyNews,social media,1
jodiimiiller,NYDailyNews,social media,1
laila_elise9,NYDailyNews,social media,1
HoZ_Books,Ben_garrod,biological,2
lauryn_smh,NYDailyNews,social media,1
sevenbeescafe,btnhovefood,sustainability,1
HarperAdamsUni,skillsupplyuk,drones,2
CmiloseMilose,NYDailyNews,social media,1
HECParis,CSODEMEA,artificial intelligence,1
KTNUK,KyraAllenEdin,sustainability,1
Herron1664,UofGMVLS,infection,2
RoyMeijer,HWU_RCCS,climate change,1
James_BRHOP,JLee_Row,pathways,1
Cambridge_Uni,RoyalAstroSoc,astronomy,1
dalielusakura,NYDailyNews,social media,1
FenixWild,NYDailyNews,social media,1
hvngp,NYDailyNews,social media,1
unige_en,FLAHAULT,medicine,1
witchlair,NYDailyNews,social media,1
Nwestmarland,anoushkatwining,criminology,1
melOnaMelocoton,NYDailyNews,social media,1
sansamelons,NYDailyNews,social media,1
Nichalpkfan,NYDailyNews,social media,1
univofstandrews,HeriotWattUni,cancer,1
MarcosBL,hipolitoguzman,robotics,1
dmneverfails,NYDailyNews,social media,1
JaneSepmeier,NYDailyNews,social media,1
ERC_Research,itqbunl,infection,1
MajorJikk,NYDailyNews,social media,1
HarperAdamsUni,scienceheather,geography,2
LeedsTrinity,LTUPsychology,criminology,3
CIPhilVickers,FSBEastMids,cyber security,1
fiannafailparty,UCD_SDG,sustainability,1
feraldata,vclaTUwien,artificial intelligence,3
INASPinfo,EvanTeijlingen,infection,4
YourStMarys,ShortCoursesCPD,economics,1
BrioMerKury,NYDailyNews,social media,1
linneuni,YvonneBecherini,astronomy,1
boucherhayes,ExerciseOps,medicine,2
CliC_WCRP,CRESCENDO_H2020,climate change,3
TheRealNews,dimitrilascaris,climate change,2
Getaheadrecruit,NEPIC_Ltd,innovation,1
bblackxblackk,NYDailyNews,social media,1
PattiBraun1,NYDailyNews,social media,1
KendYEEE,NYDailyNews,social media,1
BL_AdiKS,melissaterras,social media,1
wurmtwit,ArtScienceDoc,neuroscience,1
bmj_latest,emahase95,healthcare,1
unileon,AdrianaSurezCo1,pathways,1
DrUmeshPrabhu,VoiceofNursing_,healthcare,1
audencia,AdeshSMittalkod,entrepreneurship,2
DavidPriceUCL,uclmaps,astronomy,4
Friends_UoB_TC,bristolfemuse,architecture,1
uochester,UoCInter,entrepreneurship,1
francescrook,ourcriminalpast,criminology,3
tvamshikrishna_,NYDailyNews,social media,1
urbankitchen,GilesYeo,cell,2
Azalia_ReneeZ,NYDailyNews,social media,1
StaffsUni,StaffsPsych,psychology,1
NursingTimes,EmmaRickards,therapy,1
laurenrossini,NYDailyNews,social media,1
biancacavicchi,avdjeugd,neuroscience,1
DAAD_Germany,ResearchGermany,cyber security,1
BathSpaUni,CreativeBath,artificial intelligence,2
TeessideUni,tjuthompson,medicine,1
ITRTG,Primary_Immune,artificial intelligence,3
Yeoimguille,NYDailyNews,social media,1
gail_does_art,NYDailyNews,social media,1
DataDiva,demishassabis,artificial intelligence,2
nuigalway,nuigalway,artificial intelligence,5
UniKent,PGRepShelly,therapy,1
raalaw1,MarkOrmerod4,sustainability,1
yougavemethebes,NYDailyNews,social media,1
Jisc,martin_hamilton,artificial intelligence,1
QMSU,shandelsam,cancer,4
ahrcpress,Cardiffuninews,psychology,1
KarlieWarne,NYDailyNews,social media,1
JasonMcCartney,CSkidmoreUK,innovation,1
BPSOfficial,drtimlomas,psychology,1
UniStrathclyde,UniStrathNews,entrepreneurship,1
rickeybolin,NYDailyNews,social media,1
Jimin_ssai,NYDailyNews,social media,1
HHLnews,idw_online_en,entrepreneurship,1
AwkwardWriterT,NYDailyNews,social media,1
jussi_lehtinen,helsinkiuni,artificial intelligence,1
SarahK_Hall,melissaterras,social media,1
PLOSONE,LG_Egea,climate change,2
WPXI,WPXIAaronMartin,patients,1
kaitozian,NYDailyNews,social media,1
aflemieux,CTProject_SM,social media,1
LaceyDermot,rte,sustainability,1
Sale_ExNut,MusSarkar,psychology,1
_shoegal68,NYDailyNews,social media,1
RoyalSaddler,NYDailyNews,social media,1
NAIASDetroit,UCamEnterprise,innovation,1
AaronCKing11,NYDailyNews,social media,1
itsKaRinS,NYDailyNews,social media,1
g4l4drim,aurelsec,cyber security,1
Miles_Brundage,DeepMindAI,artificial intelligence,1
eevriviades,CyprusInUK,cyber security,2
tcddublin,MarkRae19,diabetes,1
realJOELP,NYDailyNews,social media,1
cristinaalp,ipfconline1,artificial intelligence,2
BangorUni,PsychBangor,psychology,5
nikthakkar,niyiftw,physics,1
TerapiaUBU,FlorinDanPopesc,medicine,1
TrinityLaban,nermindaul,climate change,2
ElizabethRozen4,NYDailyNews,social media,1
iceman_ex,dr_mattmorgan,medicine,1
univgroningen,BernoulliInsti2,artificial intelligence,4
MolecularCell,biocores_,cell,4
Unibocconi,rotondivale,robotics,1
KA_Nicholas,LUCSUS_LU,sustainability,1
H2020SME,fet_eu,innovation,1
jamiesonlab,CarolynBertozzi,cell,3
VanityXv,NYDailyNews,social media,1
whippletom,demishassabis,artificial intelligence,2
ThinkUHI,news_RSE,chemistry,2
rosegoldfins,NYDailyNews,social media,1
DFID_UK,DHSCgovuk,innovation,1
Kab_amit,NYDailyNews,social media,1
MarpleLeaf,sheffielduni,economics,1
KirstiLonka,teemu_roos,artificial intelligence,1
TracySoNotCraz1,NYDailyNews,social media,1
Write4Research,FlavinMarie,healthcare,1
LBS,helene_rey,economics,1
TonyCapone4,NYDailyNews,social media,1
IPBES,animaltracking,climate change,1
UniOfHull,bedform,climate change,1
_mariwalls,KauranenMartti,innovation,2
julerosee,NYDailyNews,social media,1
WordOnTheCurbUK,PuddiSRC,social media,1
nuigalway,camdiary,architecture,1
LabourStudents,LlafurMyfyrwyr,economics,1
StaffsUni,StaffsChambers,entrepreneurship,4
givemetap,SocentConnect,innovation,1
louisebrady17,VoiceofNursing_,healthcare,1
Grigortw,GRAHAM_Digital,artificial intelligence,2
goofy_g00nie,NYDailyNews,social media,1
suepeac,NYDailyNews,social media,1
EB_RPGs,NYDailyNews,social media,1
_ahbry,NYDailyNews,social media,1
cordeliapierce,NYDailyNews,social media,1
Physio_Ben,ThePhySoc,biological,2
sadierosette,NYDailyNews,social media,1
AbertayUni,smcgregor101,pathways,2
NTNU,NTNUnorway,artificial intelligence,2
BloombergRadio,LuminousVC,artificial intelligence,4
MazzucatoM,bradford_pathol,economics,2
LeiblerMark,Ostrov_A,innovation,1
canisgallicus,BScNeuroUCC,neuroscience,1
frankmcdonald60,RIAIOnline,architecture,1
unibirmingham,TobiasRobotics,robotics,1
ClareFMLib,royalsociety,physicist,3
GreatGIFT1,NicolaBaker25,psychology,1
twinkgoo,NYDailyNews,social media,1
SmitsLab,HeinemannLab,cell,2
HeriotWattUni,CanDoScotland,innovation,2
UniofExeter,UniofExeter,sustainability,1
jo_ute,MolBiolAU,cell,2
zoemc91,NYDailyNews,social media,1
Bruneluni,hownowmag,architecture,1
